county_name,state_name,fips,area_ha,farm_cnt,farm_area_mean_ac,farm_area_km2,corn_planted_ac,soy_planted_ac,corn_harvest_ac,corn_harvest_ha,soy_harvest_ac,soy_harvest_ha,corn_yield_bu_per_ac,corn_yield_kg_per_ha,soy_yield_bu_per_ac,soy_yield_kg_per_ha,corn_econ_loss_usd,soy_econ_loss_usd,farm_econ_loss_mean_usd,farm_econ_loss_min_usd,farm_econ_loss_max_usd,econ_loss_mean_usd,econ_loss_min_usd,econ_loss_max_usd,econ_loss_usd_per_ha,econ_loss_usd_per_km2,topsoil_loss_km2,topsoil_loss_frac,topsoil_loss_error_frac,state_econ_loss_usd,state_topsoil_loss_frac
Bureau,Illinois,17011,185626.1312,1056,426,1856.261312,268100,152700,265600,107568,152220,61649.1,204,12794.07407,62,4163.950617,14641698.45,6708919.419,19844.3079,17462.99095,22225.62484,21350617.87,18788543.73,23912692.01,115.0194627,575.4469432,575.4469432,0.310003198,0.121956139,359492969,0.313723646
De Witt,Illinois,17039,88332.9648,511,383,883.329648,104600,98120,103840,42055.2,97900,39649.5,213,13358.51852,65,4365.432099,5418692.607,4101117.656,16717.03619,14710.99184,18723.08053,9519810.264,8377433.032,10662187.5,107.7718866,248.2595669,248.2595669,0.281049739,0.113475733,359492969,0.313723646
Ford,Illinois,17053,118330.2768,546,564,1183.302768,143200,132700,141900,57469.5,132160,53524.8,195,12229.62963,60,4029.62963,6573239.489,4955296.864,22254.22221,19583.71554,24924.72887,11528536.35,10145111.99,12911960.72,97.4267674,322.4714595,322.4714595,0.272518132,0.111419865,359492969,0.313723646
Grundy,Illinois,17063,81980.2864,431,504,819.802864,103700,92520,102840,41650.2,92280,37373.4,198,12417.77778,57,3828.148148,4657820.84,3165147.192,19478.14901,17140.77113,21815.5269,7822968.032,6884211.868,8761724.196,95.42499027,215.128479,215.128479,0.262414891,0.108226632,359492969,0.313723646
Iroquois,Illinois,17075,257697.32,1470,455,2576.9732,330900,285300,327800,132759,284400,115182,179,11226.17284,56,3760.987654,13785968.91,9843484.96,16897.02327,14869.38048,18924.66606,23629453.87,20793919.41,26464988.34,91.69460464,694.5734376,694.5734376,0.269530718,0.110397295,359492969,0.313723646
Kane,Illinois,17089,75920.6912,590,286,759.206912,76320,55860,74760,30277.8,55680,22550.4,188,11790.61728,58,3895.308642,3647888.564,2204944.13,8929.497351,7857.957668,10001.03703,5852832.694,5150492.771,6555172.617,77.09140422,226.0515704,226.0515704,0.297746987,0.118858218,359492969,0.313723646
Kankakee,Illinois,17091,144190.552,818,419,1441.90552,186300,134200,183340,74252.7,133820,54197.1,167,10473.58025,52,3492.345679,7073941.83,4229296.214,13302.55661,11706.24981,14898.8634,11303238.04,9946849.479,12659626.61,78.3909756,382.1708379,382.1708379,0.265045686,0.109159226,359492969,0.313723646
Kendall,Illinois,17093,65985.2016,364,356,659.852016,75300,62750,74700,30253.5,62500,25312.5,207,12982.22222,60,4029.62963,3891205.285,2482449.44,13926.66107,12255.46174,15597.8604,6373654.725,5608816.158,7138493.292,96.59218385,190.4902263,190.4902263,0.288686284,0.116040524,359492969,0.313723646
Lake,Illinois,17097,15210.0448,349,86,152.100448,8700,8700,7900,3199.5,8640,3499.2,151,9470.123457,45,3022.222222,359533.7963,308260.5057,1529.204933,1345.700341,1712.709525,667794.302,587658.9857,747929.6182,43.9048215,52.58951058,52.58951058,0.345755133,0.132147234,359492969,0.313723646
Lee,Illinois,17103,160841.2672,835,442,1608.412672,252200,118500,249900,101209.5,118160,47854.8,196,12292.34568,60,4029.62963,12245326.99,4662574.027,18817.82837,16559.68896,21075.96777,16907901.01,14878952.89,18936849.13,105.1216601,461.2947364,461.2947364,0.286801232,0.115695442,359492969,0.313723646
